y, omega, u
153.10,9500.00,55.20
150.10,9400.00,55.20
152.10,9400.00,55.20
147.10,9400.00,55.20
148.10,9400.00,55.20
149.10,9400.00,55.20
145.10,9400.00,55.20
147.10,9500.00,55.20
145.10,9500.00,55.20
148.10,9500.00,55.20
149.10,9500.00,55.20
144.10,9500.00,55.20
147.10,9500.00,55.20
140.10,9500.00,55.20
142.10,9500.00,55.20
141.10,9500.00,55.20
137.10,9500.00,55.20
138.10,9500.00,55.20
139.10,9500.00,55.20
138.10,9500.00,55.20
140.10,9500.00,55.20
139.10,9500.00,55.20
139.10,9500.00,55.20
138.10,9500.00,55.20
140.10,9500.00,55.20
138.10,9500.00,55.20
136.10,9500.00,55.20
134.10,9500.00,55.20
133.10,9500.00,55.20
135.10,9500.00,55.20
141.10,9500.00,55.20
138.10,9500.00,55.20
134.10,9500.00,55.20
134.10,9500.00,55.20
142.10,9500.00,55.20
141.10,9500.00,55.20
144.10,9500.00,55.20
142.10,9500.00,55.20
137.10,9500.00,55.20
141.10,9500.00,55.20
140.10,9500.00,55.20
144.10,9500.00,55.20
145.10,9500.00,55.20
144.10,9600.00,55.20
147.10,9600.00,55.20
142.10,9600.00,55.20
148.10,9600.00,55.20
147.10,9600.00,55.20
152.10,9600.00,55.20
137.10,9500.00,55.20
145.10,9500.00,55.20
140.10,9500.00,55.20
147.10,9500.00,55.20
149.10,9500.00,55.20
147.10,9500.00,55.20
142.10,9600.00,55.20
144.10,9600.00,55.20
143.10,9600.00,55.20
140.10,9600.00,55.20
143.10,9600.00,55.20
144.10,9600.00,55.20
145.10,9500.00,55.20
147.10,9500.00,55.20
145.10,9500.00,55.20
147.10,9500.00,55.20
147.10,9500.00,55.20
147.10,9500.00,55.20
146.10,9600.00,55.20
148.10,9600.00,55.20
147.10,9600.00,55.20
145.10,9600.00,55.20
146.10,9600.00,55.20
150.10,9600.00,55.20
143.10,9500.00,55.20
149.10,9500.00,55.20
149.10,9500.00,55.20
149.10,9500.00,55.20
149.10,9500.00,55.20
146.10,9500.00,55.20
145.10,9500.00,55.20
147.10,9500.00,55.20
149.10,9500.00,55.20
146.10,9500.00,55.20
151.10,9500.00,55.20
148.10,9500.00,55.20
150.10,9600.00,55.20
147.10,9600.00,55.20
147.10,9600.00,55.20
147.10,9600.00,55.20
150.10,9600.00,55.20
147.10,9600.00,55.20
148.10,9500.00,55.20
143.10,9500.00,55.20
148.10,9500.00,55.20
149.10,9500.00,55.20
147.10,9500.00,55.20
149.10,9500.00,55.20
157.10,9500.00,55.20
149.10,9500.00,55.20
150.10,9500.00,55.20
146.10,9500.00,55.20
147.10,9500.00,55.20
143.10,9500.00,55.20
147.10,9500.00,55.20
150.10,9500.00,55.20
146.10,9500.00,55.20
145.10,9500.00,55.20
146.10,9500.00,55.20
146.10,9500.00,55.20
147.10,9600.00,55.20
150.10,9600.00,55.20
144.10,9600.00,55.20
146.10,9600.00,55.20
148.10,9600.00,55.20
145.10,9600.00,55.20
150.10,9500.00,55.20
148.10,9500.00,55.20
150.10,9500.00,55.20
146.10,9500.00,55.20
149.10,9500.00,55.20
151.10,9500.00,55.20
146.10,9500.00,55.20
150.10,9500.00,55.20
147.10,9500.00,55.20
152.10,9500.00,55.20
149.10,9500.00,55.20
150.10,9500.00,55.20
147.10,9500.00,55.20
147.10,9500.00,55.20
145.10,9500.00,55.20
150.10,9500.00,55.20
150.10,9500.00,55.20
152.10,9500.00,55.20
154.10,9600.00,55.20
147.10,9600.00,55.20
148.10,9600.00,55.20
151.10,9600.00,55.20
150.10,9600.00,55.20
146.10,9600.00,55.20
148.10,9500.00,55.20
149.10,9500.00,55.20
148.10,9500.00,55.20
150.10,9500.00,55.20
149.10,9500.00,55.20
148.10,9500.00,55.20
147.10,9500.00,55.20
147.10,9500.00,55.20
148.10,9500.00,55.20
144.10,9500.00,55.20
143.10,9500.00,55.20
148.10,9500.00,55.20
147.10,9500.00,55.20
146.10,9500.00,55.20
147.10,9500.00,55.20
147.10,9500.00,55.20
143.10,9500.00,55.20
149.10,9500.00,55.20
147.10,9600.00,55.20
152.10,9600.00,55.20
146.10,9600.00,55.20
150.10,9600.00,55.20
148.10,9600.00,55.20
147.10,9600.00,55.20
151.10,9500.00,55.20
147.10,9500.00,55.20
148.10,9500.00,55.20
149.10,9500.00,55.20
145.10,9500.00,55.20
154.10,9500.00,55.20
152.10,9500.00,55.20
151.10,9500.00,55.20
144.10,9500.00,55.20
148.10,9500.00,55.20
143.10,9500.00,55.20
147.10,9500.00,55.20
147.10,9500.00,55.20
149.10,9500.00,55.20
148.10,9500.00,55.20
147.10,9500.00,55.20
146.10,9500.00,55.20
151.10,9500.00,55.20
146.10,9600.00,55.20
147.10,9600.00,55.20
146.10,9600.00,55.20
146.10,9600.00,55.20
149.10,9600.00,55.20
143.10,9600.00,55.20
147.10,9500.00,55.20
148.10,9500.00,55.20
150.10,9500.00,55.20
147.10,9500.00,55.20
145.10,9500.00,55.20
142.10,9500.00,55.20
143.10,9500.00,55.20
142.10,9500.00,55.20
143.10,9500.00,55.20
147.10,9500.00,55.20
151.10,9500.00,55.20
147.10,9500.00,55.20
143.10,9500.00,55.20
149.10,9500.00,55.20
143.10,9500.00,55.20
145.10,9500.00,55.20
144.10,9500.00,55.20
146.10,9500.00,55.20
147.10,9500.00,55.20
146.10,9500.00,55.20
146.10,9500.00,55.20
148.10,9500.00,55.20
143.10,9500.00,55.20
148.10,9500.00,55.20
147.10,9500.00,55.20
149.10,9500.00,55.20
149.10,9500.00,55.20
147.10,9500.00,55.20
149.10,9500.00,55.20
148.10,9500.00,55.20
152.10,9500.00,55.20
145.10,9500.00,55.20
150.10,9500.00,55.20
149.10,9500.00,55.20
147.10,9500.00,55.20
148.10,9500.00,55.20
142.10,9500.00,55.20
143.10,9500.00,55.20
146.10,9500.00,55.20
141.10,9500.00,55.20
145.10,9500.00,55.20
143.10,9500.00,55.20
144.10,9500.00,55.20
144.10,9500.00,55.20
148.10,9500.00,55.20
148.10,9500.00,55.20
146.10,9500.00,55.20
144.10,9500.00,55.20
148.10,9500.00,55.20
144.10,9500.00,55.20
143.10,9500.00,55.20
